id_cliente,genero,edad,es_senior,tiene_pareja,tiene_dependientes,meses_antiguedad,servicio_telefono,servicio_internet,soporte_tecnico,tipo_contrato,metodo_pago,factura_electronica,cargo_mensual,cargo_total,tickets_soporte,churn,churn_label
CLI-00020,Femenino,20,0,Si,Si,5,Si,Fibra optica,No,Mensual,Cheque electronico,Si,104.02,484.96,1,1,Si
CLI-00021,Masculino,76,1,Si,No,64,Si,Fibra optica,No,Mensual,Cheque por correo,Si,106.44,6455.11,3,0,No
CLI-00022,Femenino,22,0,No,No,71,Si,DSL,Si,Mensual,Cheque por correo,Si,111.06,7847.74,4,1,Si
CLI-00023,Femenino,30,0,No,No,27,Si,DSL,Si,Bianual,Cheque electronico,Si,93.66,2651.67,2,0,No
CLI-00024,Femenino,64,0,Si,No,45,Si,Fibra optica,No,Bianual,Transferencia bancaria,Si,90.47,3988.69,0,0,No
CLI-00025,Femenino,63,0,Si,No,35,Si,Fibra optica,No,Mensual,Cheque por correo,Si,66.74,2467.18,1,0,No
CLI-00026,Femenino,78,1,Si,Si,26,Si,DSL,No,Mensual,Cheque electronico,No,105.45,2777.12,0,0,No
CLI-00027,Femenino,48,0,Si,Si,23,Si,Fibra optica,No,Mensual,Cheque electronico,Si,70.03,1455.83,2,1,Si
CLI-00028,Femenino,72,1,Si,No,13,Si,No,Si,Mensual,Cheque por correo,Si,21.02,253.14,1,0,No
CLI-00029,Femenino,33,0,No,No,3,No,No,Si,Anual,Tarjeta credito,No,77.66,236.35,4,0,No
CLI-00030,Masculino,67,1,No,Si,29,No,Fibra optica,Si,Anual,Cheque por correo,No,57.83,1563.42,2,0,No
CLI-00031,Masculino,49,0,No,Si,66,Si,Fibra optica,No,Mensual,Tarjeta credito,Si,71.17,4798.97,3,0,No
CLI-00032,Femenino,39,0,No,Si,64,Si,DSL,No,Mensual,Cheque por correo,No,62.95,3984.71,0,0,No
CLI-00033,Femenino,46,0,No,No,28,Si,No,No,Mensual,Tarjeta credito,Si,68.67,1995.86,2,0,No
CLI-00034,Femenino,39,0,No,No,36,Si,No,Si,Mensual,Tarjeta credito,No,29.07,1002.87,3,0,No
CLI-00035,Masculino,60,0,Si,Si,6,Si,No,No,Anual,Cheque electronico,No,19.48,124.4,2,0,No
CLI-00036,Femenino,20,0,No,Si,11,Si,Fibra optica,No,Bianual,Cheque electronico,Si,52.7,566.82,2,0,No
CLI-00037,Masculino,71,1,Si,Si,38,Si,DSL,Si,Mensual,Cheque electronico,No,43.96,1769.59,1,0,No
CLI-00038,Masculino,27,0,No,No,34,Si,Fibra optica,Si,Mensual,Cheque electronico,No,43.51,1337.14,6,0,No
CLI-00039,Masculino,59,0,No,Si,67,Si,Fibra optica,No,Mensual,Cheque por correo,Si,113.58,7447.14,0,0,No
CLI-00040,Masculino,79,1,Si,No,46,No,No,Si,Mensual,Transferencia bancaria,Si,101.54,4409.45,1,0,No
CLI-00041,Masculino,38,0,Si,Si,29,Si,DSL,No,Mensual,Tarjeta credito,No,19.36,555.12,0,0,No
CLI-00042,Femenino,33,0,No,Si,60,Si,Fibra optica,No,Bianual,Cheque por correo,No,18.89,1234.68,0,0,No
CLI-00043,Femenino,29,0,Si,No,54,Si,DSL,No,Bianual,Transferencia bancaria,No,97.24,4892.8,2,0,No
CLI-00044,Femenino,19,0,No,No,69,Si,Fibra optica,No,Mensual,Transferencia bancaria,Si,118.46,7500.22,4,0,No
CLI-00045,Femenino,58,0,No,Si,9,Si,No,No,Mensual,Cheque por correo,Si,65.45,537.04,2,0,No
CLI-00046,Femenino,41,0,No,No,10,Si,Fibra optica,No,Mensual,Transferencia bancaria,No,62.18,574.96,1,0,No
CLI-00047,Masculino,52,0,No,No,68,Si,No,No,Mensual,Transferencia bancaria,No,46.13,2862.03,2,0,No
CLI-00048,Femenino,73,1,Si,No,58,Si,Fibra optica,No,Anual,Transferencia bancaria,No,86.0,5172.29,3,0,No
CLI-00049,Femenino,47,0,Si,No,52,Si,DSL,No,Anual,Cheque electronico,No,66.11,3174.67,0,0,No
CLI-00050,Masculino,74,1,No,No,34,Si,Fibra optica,No,Mensual,Cheque por correo,Si,35.09,1120.87,2,0,No
CLI-00051,Femenino,47,0,No,No,35,Si,No,No,Bianual,Transferencia bancaria,No,67.1,2416.86,0,0,No
CLI-00052,Masculino,64,0,No,Si,33,Si,DSL,No,Anual,Cheque electronico,Si,56.39,1840.83,1,0,No
CLI-00053,Femenino,52,0,Si,No,72,Si,DSL,No,Mensual,Transferencia bancaria,Si,108.76,7133.26,2,0,No
CLI-00054,Masculino,36,0,Si,No,32,Si,Fibra optica,No,Mensual,Cheque electronico,No,96.7,3385.69,1,0,No
CLI-00055,Femenino,67,1,No,Si,55,Si,Fibra optica,Si,Mensual,Cheque electronico,Si,89.53,5022.57,5,1,Si
CLI-00056,Femenino,25,0,Si,Si,8,Si,Fibra optica,No,Anual,Cheque electronico,Si,51.37,420.31,0,0,No
CLI-00057,Masculino,43,0,No,Si,46,Si,Fibra optica,No,Anual,Cheque electronico,Si,32.24,1587.62,2,0,No
CLI-00058,Masculino,66,1,Si,No,14,Si,No,No,Bianual,Cheque electronico,No,106.2,1608.45,0,0,No
CLI-00059,Masculino,57,0,No,No,8,Si,Fibra optica,No,Bianual,Tarjeta credito,Si,52.96,386.15,5,0,No
CLI-00060,Masculino,24,0,No,No,71,Si,DSL,No,Bianual,Cheque electronico,Si,78.48,5091.04,4,1,Si
CLI-00061,Masculino,47,0,No,Si,54,Si,Fibra optica,No,Mensual,Cheque electronico,Si,78.26,4459.78,5,0,No
CLI-00062,Masculino,24,0,Si,No,21,Si,No,No,Anual,Transferencia bancaria,No,112.66,2458.52,0,0,No
CLI-00063,Masculino,20,0,No,No,14,Si,No,No,Anual,Cheque por correo,No,35.52,469.12,1,0,No
CLI-00064,Masculino,18,0,No,No,2,Si,Fibra optica,Si,Mensual,Cheque electronico,Si,96.71,186.5,0,1,Si
CLI-00065,Femenino,53,0,Si,No,61,Si,DSL,No,Mensual,Cheque por correo,Si,65.18,4064.28,1,0,No
CLI-00066,Femenino,42,0,No,No,17,Si,No,Si,Mensual,Cheque electronico,No,35.82,644.14,3,0,No
CLI-00067,Masculino,54,0,No,No,48,Si,Fibra optica,No,Mensual,Cheque por correo,No,103.24,5057.76,2,0,No
CLI-00068,Femenino,18,0,No,No,8,Si,Fibra optica,No,Bianual,Transferencia bancaria,Si,101.65,860.69,2,0,No
CLI-00069,Femenino,32,0,No,No,56,Si,DSL,No,Mensual,Cheque electronico,Si,22.1,1170.43,2,0,No
CLI-00070,Femenino,54,0,Si,No,17,Si,Fibra optica,No,Anual,Tarjeta credito,Si,90.36,1484.23,3,0,No
CLI-00071,Femenino,30,0,Si,No,69,Si,DSL,No,Mensual,Cheque electronico,No,33.66,2137.49,2,0,No
CLI-00072,Masculino,57,0,Si,Si,12,Si,DSL,Si,Bianual,Tarjeta credito,Si,80.26,1056.51,3,0,No
CLI-00073,Femenino,25,0,No,Si,38,No,DSL,No,Anual,Transferencia bancaria,Si,83.67,3375.94,0,0,No
CLI-00074,Masculino,22,0,No,Si,18,Si,Fibra optica,No,Bianual,Cheque electronico,Si,85.85,1611.99,0,0,No
CLI-00075,Femenino,77,1,No,No,26,Si,Fibra optica,No,Mensual,Cheque electronico,No,30.25,738.49,4,1,Si
CLI-00076,Femenino,26,0,Si,No,37,Si,DSL,No,Bianual,Tarjeta credito,No,79.03,3040.3,0,0,No
CLI-00077,Femenino,18,0,Si,Si,70,Si,DSL,No,Mensual,Transferencia bancaria,No,28.19,2116.33,1,1,Si
CLI-00078,Masculino,53,0,No,Si,41,No,DSL,No,Anual,Cheque electronico,No,94.05,4095.39,1,1,Si
CLI-00079,Femenino,52,0,Si,No,42,Si,DSL,No,Mensual,Cheque electronico,No,24.5,1081.41,0,0,No
CLI-00080,Masculino,19,0,Si,No,41,Si,Fibra optica,No,Anual,Tarjeta credito,No,95.3,3819.12,0,0,No
CLI-00081,Femenino,57,0,No,No,47,Si,DSL,No,Bianual,Cheque por correo,Si,108.12,5352.96,1,0,No
CLI-00082,Masculino,40,0,Si,No,14,Si,DSL,No,Anual,Cheque electronico,No,48.45,676.21,0,0,No
CLI-00083,Femenino,26,0,Si,No,1,Si,Fibra optica,No,Anual,Tarjeta credito,No,97.39,95.53,2,1,Si
CLI-00084,Masculino,51,0,Si,No,17,No,DSL,No,Mensual,Cheque por correo,No,60.59,1125.78,2,0,No
CLI-00085,Masculino,63,0,Si,No,55,Si,DSL,No,Mensual,Cheque por correo,No,99.37,5079.14,2,1,Si
CLI-00086,Femenino,31,0,No,Si,53,Si,No,No,Mensual,Transferencia bancaria,No,88.0,5004.21,2,1,Si
CLI-00087,Masculino,21,0,Si,No,31,Si,Fibra optica,No,Mensual,Tarjeta credito,Si,47.49,1419.81,3,0,No
CLI-00088,Femenino,47,0,Si,No,62,No,No,No,Bianual,Cheque electronico,Si,37.76,2348.8,3,0,No
CLI-00089,Femenino,48,0,Si,No,8,Si,Fibra optica,No,Bianual,Tarjeta credito,Si,111.3,865.99,0,0,No
CLI-00090,Femenino,55,0,No,No,30,Si,No,No,Bianual,Tarjeta credito,Si,103.58,3109.39,1,0,No
CLI-00091,Femenino,28,0,Si,No,66,Si,DSL,Si,Mensual,Cheque electronico,No,85.31,5989.01,1,1,Si
CLI-00092,Femenino,52,0,No,Si,45,Si,Fibra optica,No,Mensual,Cheque por correo,No,53.64,2260.77,2,0,No
CLI-00093,Femenino,25,0,Si,No,18,Si,Fibra optica,No,Anual,Tarjeta credito,No,70.07,1325.53,1,0,No
CLI-00094,Femenino,20,0,Si,Si,45,Si,No,No,Anual,Cheque por correo,No,74.9,3334.02,1,0,No
CLI-00095,Femenino,31,0,Si,Si,19,Si,Fibra optica,No,Mensual,Cheque por correo,Si,26.78,553.08,1,0,No
CLI-00096,Femenino,77,1,No,Si,68,Si,No,No,Bianual,Transferencia bancaria,No,117.17,8042.43,1,0,No
CLI-00097,Femenino,30,0,No,No,50,Si,Fibra optica,No,Mensual,Transferencia bancaria,No,27.37,1242.97,0,0,No
CLI-00098,Femenino,62,0,Si,No,25,Si,Fibra optica,No,Mensual,Transferencia bancaria,Si,91.61,2478.14,1,0,No
CLI-00099,Masculino,49,0,No,No,38,No,No,No,Bianual,Transferencia bancaria,Si,68.27,2814.51,0,0,No
CLI-00100,Masculino,51,0,No,No,36,Si,No,No,Bianual,Cheque por correo,Si,95.51,3218.25,3,1,Si
CLI-00101,Femenino,62,0,Si,No,68,Si,Fibra optica,Si,Bianual,Transferencia bancaria,No,44.61,3320.24,1,0,No
CLI-00102,Femenino,78,1,No,No,56,Si,DSL,No,Mensual,Cheque electronico,Si,58.3,3229.41,2,1,Si
CLI-00103,Femenino,36,0,Si,No,39,No,DSL,No,Mensual,Cheque por correo,Si,71.6,3023.85,2,0,No
CLI-00104,Femenino,76,1,No,No,63,Si,DSL,No,Mensual,Cheque electronico,Si,30.31,1857.62,4,1,Si
CLI-00105,Femenino,55,0,No,No,7,Si,DSL,No,Bianual,Cheque por correo,No,104.89,664.14,3,0,No
CLI-00106,Femenino,33,0,No,No,58,Si,DSL,No,Mensual,Cheque electronico,No,119.14,7317.85,2,1,Si
CLI-00107,Femenino,19,0,No,No,59,Si,Fibra optica,No,Bianual,Cheque por correo,No,60.59,3850.65,1,0,No
CLI-00108,Femenino,57,0,Si,No,48,Si,No,Si,Bianual,Transferencia bancaria,Si,56.44,2526.42,2,0,No
CLI-00109,Masculino,34,0,No,Si,5,No,DSL,No,Bianual,Cheque por correo,Si,78.6,397.24,4,0,No
CLI-00110,Femenino,72,1,Si,Si,36,Si,Fibra optica,Si,Mensual,Cheque electronico,Si,88.24,3387.29,1,0,No
CLI-00111,Masculino,51,0,Si,No,25,Si,Fibra optica,No,Mensual,Cheque electronico,Si,106.59,2644.26,1,0,No
CLI-00112,Femenino,59,0,No,No,45,Si,No,No,Bianual,Tarjeta credito,Si,56.03,2666.76,1,0,No
CLI-00113,Femenino,77,1,No,Si,19,Si,DSL,Si,Bianual,Transferencia bancaria,Si,96.01,1874.57,4,0,No
CLI-00114,Masculino,33,0,No,No,7,Si,Fibra optica,Si,Bianual,Cheque electronico,Si,42.49,310.56,2,0,No
CLI-00115,Femenino,55,0,Si,Si,58,Si,No,No,Mensual,Tarjeta credito,Si,87.41,5494.44,2,0,No
CLI-00116,Masculino,77,1,No,No,66,Si,Fibra optica,No,Anual,Cheque electronico,Si,65.61,4258.22,0,1,Si
CLI-00117,Femenino,19,0,No,No,39,No,Fibra optica,Si,Mensual,Transferencia bancaria,Si,85.49,3514.8,3,0,No
CLI-00118,Femenino,19,0,Si,No,18,Si,No,No,Mensual,Cheque por correo,No,56.74,1064.76,1,0,No
CLI-00119,Masculino,43,0,Si,Si,1,Si,DSL,No,Anual,Cheque electronico,No,48.02,47.43,3,0,No
CLI-00120,Femenino,30,0,Si,Si,63,Si,No,No,Mensual,Cheque electronico,Si,67.57,4155.74,2,0,No
CLI-00121,Masculino,73,1,Si,No,3,Si,No,No,Mensual,Transferencia bancaria,No,109.3,352.91,0,0,No
CLI-00122,Femenino,64,0,No,Si,21,Si,DSL,No,Mensual,Cheque electronico,No,86.83,1715.75,1,0,No
CLI-00123,Masculino,48,0,No,No,30,Si,DSL,Si,Mensual,Cheque por correo,Si,80.39,2324.16,0,0,No
CLI-00124,Masculino,77,1,No,No,11,No,Fibra optica,Si,Mensual,Transferencia bancaria,No,91.43,1101.17,0,1,Si
CLI-00125,Femenino,51,0,No,Si,22,Si,No,No,Mensual,Cheque electronico,Si,92.37,1941.66,3,0,No
CLI-00126,Femenino,56,0,Si,Si,57,Si,DSL,Si,Mensual,Tarjeta credito,Si,48.06,2943.49,1,0,No
CLI-00127,Masculino,20,0,No,No,3,Si,Fibra optica,No,Bianual,Cheque electronico,Si,41.74,122.0,5,0,No
CLI-00128,Femenino,25,0,Si,Si,30,Si,DSL,Si,Bianual,Cheque electronico,Si,69.93,2119.38,0,0,No
CLI-00129,Femenino,40,0,No,Si,45,Si,No,Si,Bianual,Transferencia bancaria,No,33.08,1458.33,1,0,No
CLI-00130,Femenino,31,0,Si,No,36,Si,Fibra optica,Si,Mensual,Tarjeta credito,Si,66.42,2257.84,2,0,No
CLI-00131,Masculino,73,1,No,No,72,Si,Fibra optica,No,Mensual,Transferencia bancaria,No,88.69,6629.75,0,0,No
CLI-00132,Masculino,79,1,Si,No,64,Si,Fibra optica,No,Bianual,Cheque electronico,No,18.76,1312.69,0,0,No
CLI-00133,Masculino,72,1,Si,Si,54,Si,No,Si,Mensual,Tarjeta credito,No,29.34,1708.83,2,0,No
CLI-00134,Masculino,44,0,No,No,68,Si,Fibra optica,No,Mensual,Cheque por correo,No,116.14,8664.02,3,0,No
CLI-00135,Masculino,71,1,Si,No,50,Si,Fibra optica,No,Mensual,Cheque por correo,Si,112.65,5847.8,4,0,No
CLI-00136,Masculino,46,0,No,No,31,Si,DSL,No,Mensual,Tarjeta credito,No,60.63,1704.54,1,0,No
CLI-00137,Masculino,56,0,Si,No,29,Si,Fibra optica,Si,Bianual,Cheque electronico,Si,78.18,2291.74,1,0,No
CLI-00138,Masculino,70,1,No,No,59,Si,Fibra optica,Si,Bianual,Cheque por correo,No,33.84,2045.48,2,0,No
CLI-00139,Masculino,56,0,Si,No,36,Si,Fibra optica,No,Bianual,Tarjeta credito,No,51.76,1721.8,0,0,No
CLI-00140,Femenino,18,0,Si,Si,67,Si,No,No,Bianual,Cheque electronico,Si,98.88,7060.12,1,0,No
CLI-00141,Masculino,34,0,Si,No,11,Si,Fibra optica,No,Anual,Cheque por correo,No,105.31,1211.72,4,1,Si
CLI-00142,Femenino,58,0,Si,No,11,Si,No,No,Mensual,Cheque electronico,Si,59.34,646.01,2,1,Si
CLI-00143,Femenino,47,0,Si,No,26,Si,DSL,Si,Mensual,Tarjeta credito,Si,49.73,1239.19,3,0,No
CLI-00144,Femenino,70,1,Si,Si,53,Si,DSL,No,Anual,Transferencia bancaria,No,87.53,4380.98,1,0,No
CLI-00145,Masculino,30,0,Si,Si,14,Si,No,No,Mensual,Cheque electronico,Si,91.23,1395.86,3,0,No
CLI-00146,Masculino,38,0,Si,No,64,Si,No,No,Bianual,Cheque electronico,No,118.35,8032.01,1,1,Si
CLI-00147,Masculino,36,0,No,No,10,Si,Fibra optica,No,Mensual,Cheque por correo,Si,89.13,925.77,1,0,No
CLI-00148,Masculino,70,1,No,No,31,Si,No,No,Anual,Transferencia bancaria,No,42.5,1435.65,1,0,No
CLI-00149,Femenino,36,0,Si,Si,36,Si,Fibra optica,No,Anual,Cheque por correo,No,24.12,816.83,1,1,Si
CLI-00150,Masculino,74,1,No,Si,10,Si,No,Si,Mensual,Cheque electronico,No,44.28,474.47,2,1,Si
CLI-00151,Masculino,42,0,No,No,26,Si,Fibra optica,Si,Anual,Transferencia bancaria,No,41.12,1086.96,0,0,No
CLI-00152,Masculino,39,0,Si,No,20,Si,DSL,No,Bianual,Cheque electronico,No,27.47,596.98,2,0,No
CLI-00153,Masculino,48,0,No,No,44,Si,Fibra optica,No,Anual,Tarjeta credito,Si,63.33,2876.03,0,0,No
CLI-00154,Masculino,34,0,Si,No,62,Si,No,Si,Anual,Cheque por correo,Si,47.39,3080.11,2,0,No
CLI-00155,Femenino,72,1,No,No,9,Si,Fibra optica,Si,Mensual,Transferencia bancaria,Si,112.36,955.07,0,1,Si
CLI-00156,Masculino,40,0,Si,No,71,No,No,No,Bianual,Cheque por correo,Si,59.2,4072.9,2,0,No
CLI-00157,Femenino,49,0,No,No,24,Si,No,No,Mensual,Transferencia bancaria,No,107.41,2475.92,1,0,No
CLI-00158,Masculino,79,1,No,No,12,Si,Fibra optica,No,Bianual,Tarjeta credito,Si,49.29,614.45,2,0,No
CLI-00159,Femenino,27,0,Si,No,60,Si,Fibra optica,No,Bianual,Transferencia bancaria,No,102.81,6059.01,3,0,No
CLI-00160,Masculino,27,0,Si,Si,16,Si,Fibra optica,Si,Mensual,Transferencia bancaria,Si,64.36,1103.9,0,0,No
CLI-00161,Masculino,53,0,No,No,29,No,Fibra optica,No,Bianual,Transferencia bancaria,Si,21.3,582.19,1,0,No
CLI-00162,Femenino,25,0,Si,Si,32,No,DSL,No,Bianual,Cheque por correo,Si,67.67,2293.49,1,0,No
CLI-00163,Femenino,71,1,No,No,35,Si,No,Si,Anual,Cheque electronico,Si,41.13,1529.74,2,0,No
CLI-00164,Femenino,69,1,No,No,43,No,Fibra optica,No,Anual,Tarjeta credito,Si,49.36,2176.76,0,0,No
CLI-00165,Masculino,37,0,No,Si,53,No,No,No,Bianual,Transferencia bancaria,No,87.8,4326.09,6,0,No
CLI-00166,Femenino,49,0,No,No,20,Si,Fibra optica,Si,Mensual,Cheque electronico,Si,72.01,1390.29,1,1,Si
CLI-00167,Masculino,67,1,No,Si,8,No,Fibra optica,No,Bianual,Cheque electronico,Si,108.64,851.35,0,0,No
CLI-00168,Masculino,31,0,No,No,42,Si,Fibra optica,No,Anual,Cheque por correo,No,113.47,4732.81,4,0,No
CLI-00169,Femenino,67,1,Si,No,70,Si,No,No,Bianual,Cheque electronico,Si,88.48,6486.89,7,0,No
CLI-00170,Femenino,45,0,Si,Si,16,Si,DSL,Si,Mensual,Tarjeta credito,No,106.08,1642.41,2,0,No
CLI-00171,Masculino,63,0,Si,No,69,Si,No,No,Mensual,Transferencia bancaria,No,37.9,2363.12,1,0,No
CLI-00172,Masculino,69,1,No,Si,53,Si,Fibra optica,Si,Bianual,Cheque electronico,No,26.09,1484.01,4,1,Si
CLI-00173,Femenino,70,1,No,Si,45,Si,No,Si,Mensual,Cheque electronico,No,51.96,2306.55,2,0,No
CLI-00174,Femenino,41,0,Si,No,51,Si,No,No,Mensual,Cheque electronico,Si,51.22,2498.79,4,0,No
CLI-00175,Femenino,32,0,No,No,6,Si,Fibra optica,No,Anual,Cheque electronico,Si,85.84,547.92,0,0,No
CLI-00176,Masculino,39,0,No,Si,33,Si,Fibra optica,No,Mensual,Cheque electronico,Si,103.72,3682.1,1,0,No
CLI-00177,Masculino,47,0,Si,No,15,Si,Fibra optica,No,Mensual,Tarjeta credito,Si,48.28,757.66,1,0,No
CLI-00178,Masculino,21,0,No,No,14,Si,No,No,Mensual,Cheque por correo,Si,61.33,833.6,0,1,Si
CLI-00179,Masculino,30,0,Si,No,39,Si,Fibra optica,No,Mensual,Cheque por correo,Si,28.71,1059.47,2,0,No
CLI-00180,Masculino,76,1,No,Si,63,Si,Fibra optica,No,Mensual,Cheque electronico,No,60.1,3947.44,3,1,Si
CLI-00181,Masculino,40,0,Si,No,5,Si,No,Si,Mensual,Tarjeta credito,Si,39.87,181.71,4,1,Si
CLI-00182,Femenino,25,0,No,No,52,Si,Fibra optica,No,Anual,Tarjeta credito,Si,57.01,2899.93,2,0,No
CLI-00183,Masculino,35,0,No,No,16,Si,Fibra optica,No,Anual,Cheque por correo,Si,45.17,760.13,4,0,No
CLI-00184,Masculino,29,0,Si,No,38,Si,DSL,No,Mensual,Cheque electronico,No,100.49,3883.59,3,0,No
CLI-00185,Masculino,72,1,No,No,53,No,DSL,No,Mensual,Tarjeta credito,No,18.41,1021.37,0,0,No
CLI-00186,Femenino,48,0,No,Si,53,Si,No,No,Anual,Cheque electronico,Si,52.55,2825.77,1,0,No
CLI-00187,Masculino,31,0,Si,No,46,Si,No,No,Mensual,Transferencia bancaria,No,116.86,5095.69,1,0,No
CLI-00188,Masculino,51,0,Si,No,15,Si,DSL,No,Mensual,Cheque por correo,Si,87.26,1304.51,1,0,No
CLI-00189,Femenino,35,0,No,No,59,Si,No,Si,Mensual,Transferencia bancaria,Si,96.76,6020.61,3,0,No
CLI-00190,Masculino,73,1,Si,No,50,Si,DSL,Si,Mensual,Cheque por correo,Si,105.71,5000.5,1,1,Si
CLI-00191,Masculino,51,0,Si,No,9,Si,Fibra optica,No,Bianual,Tarjeta credito,Si,54.91,539.95,1,0,No
CLI-00192,Masculino,28,0,Si,No,26,Si,DSL,No,Anual,Tarjeta credito,No,24.73,604.77,0,0,No
CLI-00193,Masculino,58,0,Si,No,3,Si,No,No,Mensual,Cheque electronico,Si,59.89,162.21,0,0,No
CLI-00194,Masculino,29,0,No,Si,47,Si,No,No,Mensual,Cheque por correo,No,84.58,4196.34,1,0,No
CLI-00195,Femenino,66,1,Si,No,5,Si,Fibra optica,Si,Bianual,Cheque electronico,No,55.82,303.01,0,0,No
CLI-00196,Femenino,32,0,Si,No,62,Si,Fibra optica,Si,Mensual,Tarjeta credito,No,63.73,3751.04,2,0,No
CLI-00197,Femenino,74,1,Si,No,5,No,Fibra optica,No,Mensual,Cheque electronico,Si,102.2,475.75,1,1,Si
CLI-00198,Masculino,48,0,Si,No,10,Si,Fibra optica,Si,Bianual,Cheque electronico,Si,21.7,205.02,2,0,No
CLI-00199,Masculino,66,1,No,No,63,Si,DSL,No,Mensual,Cheque por correo,Si,52.14,3368.82,1,1,Si
CLI-00200,Masculino,75,1,Si,No,25,Si,Fibra optica,Si,Anual,Transferencia bancaria,Si,67.82,1722.3,0,1,Si
CLI-00201,Femenino,46,0,No,No,44,Si,Fibra optica,No,Mensual,Cheque electronico,No,48.52,2186.69,2,1,Si
CLI-00202,Masculino,43,0,No,No,25,Si,Fibra optica,No,Mensual,Transferencia bancaria,Si,63.47,1430.53,2,1,Si
CLI-00203,Masculino,35,0,Si,No,30,Si,DSL,No,Anual,Tarjeta credito,No,58.98,1648.01,0,0,No
CLI-00204,Femenino,49,0,No,No,14,Si,Fibra optica,No,Mensual,Transferencia bancaria,Si,112.24,1490.67,1,0,No
CLI-00205,Masculino,39,0,Si,Si,43,Si,Fibra optica,No,Mensual,Cheque por correo,Si,68.3,3052.66,5,1,Si
CLI-00206,Femenino,55,0,No,Si,28,Si,No,No,Bianual,Cheque electronico,No,66.58,1904.79,2,0,No
CLI-00207,Femenino,34,0,No,No,19,Si,DSL,No,Mensual,Cheque electronico,No,43.96,855.94,2,0,No
CLI-00208,Femenino,40,0,Si,Si,42,Si,Fibra optica,No,Anual,Cheque por correo,Si,22.72,967.74,1,0,No
CLI-00209,Masculino,41,0,Si,No,20,Si,Fibra optica,Si,Mensual,Cheque por correo,No,48.55,1018.48,0,0,No
CLI-00210,Masculino,67,1,No,Si,11,Si,DSL,No,Bianual,Cheque por correo,Si,20.78,248.77,0,0,No
CLI-00211,Masculino,25,0,Si,No,54,Si,Fibra optica,No,Bianual,Cheque por correo,No,102.33,5717.64,3,0,No
CLI-00212,Masculino,58,0,Si,Si,24,Si,DSL,No,Mensual,Cheque por correo,Si,38.84,977.83,2,1,Si
CLI-00213,Masculino,23,0,Si,No,70,Si,DSL,Si,Anual,Transferencia bancaria,Si,110.94,7933.83,1,0,No
CLI-00214,Masculino,22,0,Si,No,17,Si,No,Si,Anual,Cheque electronico,No,108.36,1951.78,2,0,No
